group_no,sentence,category
1,"रणथम्भौर में कुएं में गिरने से भालू की मौत ,  वन विभाग के अफसरों ने मीडिया से बनाई दूरी  ।
",twitter
1,"नन्हें - नन्हें हाथों से निर्मित आकर्षक और अद्वितीय कलाकृतियों ने मन मोह लिया  ।
",twitter
1,"सांस्कृतिक वैविध्य हमारी संस्कृति का सौंदर्य है और उन वैविध्यों में आंतरिक ऐक्य इसकी अनुपम अतुल्य विशिष्टता है  ।
",twitter
1,"अनार खाएँ - त्वचा में चमक पाएँ  ।
",twitter
1,"ट्राय फॉउंडेशन द्वारा निःशुल्क दवा वितरण एवं नर्मदा सेवा  ।
",twitter
1,"समस्त साधनाएं जैसे - जप ,  तप ,  योगाभ्यास तथा वेदों के पठन में जब तक भक्ति का सम्पुट न हो ,  वह बेकार है  ।
",twitter
1,"ग्रामीण युवाओं के सशक्तिकरण के लिए अब इफको लाया है   ।
",twitter
1,"कतर एयरवेज ने एयर इंडिया के अधिग्राहण से जुड़ी किसी भी बातचीत से इनकार किया  ।
",twitter
1,"जैसे सूरज की गर्मी से जलते हुए तन को मिल जाये तरुवर की छाया ऐसा ही सुख मेरे मन को मिला है मैं जबसे शरण तेरी आया , मेरे राम   ।
",twitter
1,"विवाह में विलम्ब ,  या आ रहीं हैं अड़चने ,  जानिए इसके ज्योतिषीय कारण और समाधान  ।
",twitter
1,"दिनभर दौड़ लगाया करती है सड़कों पर शहरी बस   ।
",baal sahitya
1,"सभी पतंगों से सुंदर है  ,  सबकी इस पर टिकी नजर है   ।
",baal sahitya
1,"मैं तो हरदम रहना चाहूँ दादी जी के पास   ।
",baal sahitya
1,"खाने को दो खीर कदम  ,  खाने को दो मालपुआ  ,  खाने को देना पेड़े  ,  माँग रही हैं बड़ी बुआ  ,  बड़ी बुआ ने खाया सब  ,  बड़े पलँग पर बैठीं अब   ।
",baal sahitya
1,"गुरुजी जब कक्षा में आते नया पाठ कोई समझाते   ।
",baal sahitya
1,"पत्ता खटकने की आवाज सुनकर सलिल चौंका और उसने पलटकर पीछे देखा   ।
",baal sahitya
1,"मम्मी पापा भैया सबकी घर में बड़ी दुलारी मुन्नी अगर रूठती गाल फुलाती लगे बहुत ही प्यारी मुन्नी   ।
",baal sahitya
1,"हरी गुलाबी नीली काली  ,  की इसने छुट्टी कर डाली   ।
",baal sahitya
1,"आएँ खूब डकारें उनको  ,  पेट बोलता घुड़घुड़घुड़  ,  अम्मा कहती मेथी फाँको  ,  दादी कहतीं खा ले गुड़   ।
",baal sahitya
1,"जो अपनी मदद करता है ईश्‍वर उसी की मदद करते हैं   ।
",baal sahitya
1,"बाग बगीचों में मैं जाऊँ अपनी मर्जी के फल खाऊँ   ।
",baal sahitya
1,"हँसते हुए हाथ नचा नचा कर कहता  ,  चल मेरी मूंगफली चल  ,  मेरे मुंह में चबा चबा कर खाऊँगा  ,  भुर्ता तेरा बनाऊँगा  ,  खाली पेट बुलाता तुझको  ,  अपनी भूख मिटाऊँगा   ।
",baal sahitya
1,"जिससे तुम्‍हारा नुकसान हो रहा हो उससे अलग ही रहना अच्‍छा है चाहे वह उस समय के लिए तुम्‍हारा दोस्‍त भी क्‍यों न हो   ।
",baal sahitya
1,"बहुत अधिक मेहनत करती है लेकिन थोड़ा खाती है   ।
",baal sahitya
1,"टेंपो से उतरते हुए करन बोला अरे यार तुझे मालूम है  मेरे डैडी ने तो यूकेजी में पढ़ा ही नहीं   ।
",baal sahitya
1,"वेद के काल के विषय में विद्वानों में बहुत मतभेद है ,  किंतु उसका काल ईसा से लगभग 2000 वर्ष पूर्व था - इसपर प्राय: सभी विद्वान् सहमत है  ।
",wikipedia
1,"18वीं शताब्दी बीतते बीतते यह संख्या लगभग दूनी हो गई और इंग्लैंड ,  फ्रांस ,  अमरीका ,  स्पेन तथा कुछ अन्य देशों में नौसेना विभाग की स्थापना हो गई  ।
",wikipedia
1,"क्षेत्रीय निश्चेतकों के अन्य लाभों में शामिल हैं ,  सामान्य निश्चेतकों में पाए जाने वाले खतरों का न होना: जैसे जठरीय पदार्थों के फुफ्फुसीय चूषण और भोजन नलिका में नलिकाप्रवेश कराने में सुविधा होती है  ।
",wikipedia
1,"इस शैली का प्रथम प्रमाण सित्तन्वासल की गुफा में बनी पांच जैनमूर्तियों से प्राप्त होता हैं  ।
",wikipedia
1,"शैक्षिक अनुसंधान छात्र अध्ययन ,  शिक्षण विधियों ,  शिक्षक प्रशिक्षण और कक्षा गतिकी जैसे विभिन्न पहलुओं के मुल्यांकन को सन्दर्भित करने वाली विधियों को कहा जाता है  ।
",wikipedia
1,"2005 का एक द्वितीयक रोकथाम अध्ययन दर्शाता है कि जीवन शैली में परिवर्तन और पौधों पर आधारित आहार के सेवन से प्रोस्टेट कैंसर के रोगी पुरुषों के एक समूह में कैंसर में कमी आई जो उस समय पर किसी परंपरागत उपचार का उपयोग नहीं कर रहे थे  ।
",wikipedia
1,"आनंद जी का सपना गीतकार बनाने का नहीं था  ,  वो गायक बनाना चाहते थे  ।
",wikipedia
1,"हालांकि इनकी तीव्रता और अवधि प्रत्येक वर्ष में समान नहीं होती है  ।
",wikipedia
1,"यह लोगों को हस्तशिल्प भी बनाने और बेचने के लिए प्रशिक्षित करती है  ।
",wikipedia
1,"नये प्रतीक चिह्न के आने से पहले रुपये को हिन्दी में दर्शाने के लिए 'रु' और अंग्रेजी में Re. ,  Rs. और Rp. का प्रयोग किया जाता था  ।
",wikipedia
1,"उदाहरणार्थ अगर किसी दिवालिए के पास उसके कब्जे में कोई संपत्ति है  ,  भले ही वह अधिकर स्वत: गैरकानूनी हो  ,  क्योंकि दिवाला निकलने के बाद उसकी सारी संपत्ति पर अधिकारी अभिहस्तांकिनी का अधिकार हो जाता है  ।
",wikipedia
1,"आजकल नावों के आदिम स्वरूपों को देखकर उनके उद्भव और विकास की रूपरेखा का केवल काल्पनिक अनुमान ही लगाया जा सकता है  ।
",wikipedia
1,"सिद्धांततः सामाजिक-ऐतिहासिक अवस्थाओं पर मनुष्य के क्रियाकलाप की निर्भरता को प्रकट किये बिना ज्ञान के सार को नहीं समझा जा सकता है  ।
",wikipedia
1,"विकसित देशों में बिल्लियों को पालतू जानवरों के तौर पर पालने का रिवाज बहुत ज़्यादा है और उनके लिए विशेष ख़ुराक तैयार करने के कारोबार को एक बड़ा उद्योग की हैसियत प्राप्त है  ।
",wikipedia
1,"ये किसी संकेत का आवर्धन कर सकते हैं  ।
",wikipedia
1,"उनकी प्रतीक्षाजनक उद्विग्नता ने गहरी समाधि का रूप धारण कर लिया था न कुछ बोलते थे न किसी ओर देखते थे   ।
",old stories
1,"दाई को भी सूचना न दी मगर जब बच्चे के रोने की ध्वनि मदरसे में गूँजी तो क्षणमात्र में दाई सामने आ कर खड़ी हो गयी   ।
",old stories
1,"यहाँ तक कि अगर कोई कह दे कि तुम्हारे पानी को मेहतर ने छू लिया है तब भी उसे ग्रहण करने से तुम्हें घृणा आयेगी   ।
",old stories
1,"लोगों को शंका होती कि यह राजपूतों की सेना बना कर कहीं राज्य ही पर तो हाथ नहीं बढ़ाना चाहते इसलिए मुसलमान भी उनसे बदगुमान रहते थे   ।
",old stories
1,"मोटेराम अबे क्या कहता है यहाँ क्या किसी साधु से कम हैं चाहें तो महीनों पड़े रहें और भूखप्यास न लगे   ।
",old stories
1,"चंदा को अपने प्रियतम के स्मरण करने में उसके लिए रोने में जो सुख है वह जोड़े में नहीं मैं इसी तरह अकेली रहूँगी और अकेली मरूँगी   ।
",old stories
1,"नादिरशाह ने एक बार कनखियों से परियों के इस दल को देखा और तब मसनद की टेक लगाकर लेट गया   ।
",old stories
1,"अपनी जान के लिए तुमको मुसीबत में न डालूँगा   ।
",old stories
1,"उनके त्याग और निष्काम जातिभक्ति ने उन्हें वशीभूत कर लिया है   ।
",old stories
1,"साथ तो छूटा ही ,  पंथ भी भूल गया ,  इसी से आज यह धोखा हुआ ,  नहीं तो मैं कभी रात को अकेले बाहर नहीं जाता और न बहुत रात बीते तक कहीं रहता हूँ  ।
",old stories
1,"हाँ भय इतना ही है कि कोई बुढ़िया के कान न भर दे कि सारा बना-बनाया खेल बिगड़ जाये   ।
",old stories
1,"सुशीला गर्ववती सही निठुर सही विलासिनी सही शारदा ने अपना प्रेम उस पर अर्पण कर दिया है   ।
",old stories
1,"सारी परिस्थिति को गिद्घ दृष्टि से देख रही थी कहाँ सत्कार का कौनसा नियम भंग होता है कहाँ मर्यादाओं की उपेक्षा की जाती है   ।
",old stories
1,"उनकी दाहिनी ओर शास्त्राज्ञ शंकर थे और दार्शनिक दयानंद   ।
",old stories
1,"दुलारी ने समर्थन किया हाथ में चार पैसे होंगे लड़कों को पढ़ायेंगे लिखायेंगे   ।
",old stories
1,"हाथपैर धोए पानी पिया और वहीं किनारे पर बैठकर एक एक बीड़ी इत्मीनान से फूँकी और दूसरे रास्ते से गाँव की ओर चल दिए   ।
",novels
1,"जिसे मैं कैद कह रहा हूँ कभी सपने में भी कफ परेड जैसे पॉश इलाके में 20 वीं मंजिल पर इतने आलीशान फ्लैट के गेस्ट रूम में रहने के बारे में सोच सकता था  ।
",novels
1,"असल में बात यह है कि सुकांत एक नया डेली सोप बना रहा है और उसे कुछ नए राइटर चाहिए   ।
",novels
1,"देखता क्या हूँ कि वही-की-वही लड़की सामने से वैसे-की-वैसी चली आ रही हो   ।
",novels
1,"यानी कि बाँध वगैरह बनाने के लिये कुछ अन्तरराष्ट्रीय स्तर का कबाड़ यहाँ आता है और यहाँ का कबाड़ चाहे वह जिस कोटि का कबाड़ हो नयी जगहों पर पहुँचता हैं और वहाँ भी कबाड़ के धंधे को गति मिलती है   ।
",novels
1,"जब कोई पैसा लगाकर घुमाने वाला न मिलता तो खड़े खड़े स्वयं घुमाते रहते  ,  जितना नंबर आता उतने बिस्किट गिनते और फिर ढेर में डालकर अनाज की तरह रोरते रहते   ।
",novels
1,"एक दिन माँ ने मुझे नहला कर धूप में बैठाया   ।
",novels
1,"नौजवान साथी ने अपना ख़ंजर हवा में लहराते हुए कहा मेरी बहन सियाहकार नहीं थी  ,  ये एक इल्ज़ाम है जिसका मुझे बेहद अफ़सोस है  ,  मैं तुम्हें मार कर रहूँगा  ,  तुम्हें ज़िंदा नहीं छोड़ूँगा   ।
",novels
1,"डिलाइला ने लेटे लेटे हाथ बढ़ाकर झबरू को सहलाया और मुझ पर रहम वाली नजर फिराई   ।
",novels
1,"बड़े भैया और जहूर की खबर देने वाला कोई नहीं था लेकिन एक नर्स ने आकर बताया था कि उनकी बेटी का इलाज बच्चा वार्ड में चल रहा है   ।
",novels
1,"अब केवल झाड़ू पोंछा करने वाली औरत ही खोई हुई आँखों से उसकी ओर देख रही थी गोया वह अपने ही ख्यालों में गुम हो   ।
",novels
1,"कुगृहणी की रसोई की तरह या किसी कबाड़ी की दुकान की तरह ऐसे लग रहा था जैसे मिट्टी से लथपथ इस बदकिस्मत कोठी की ओर किसी ने महीनों से आँख उठाकर भी न देखा हो   ।
",novels
1,"पूरे एक हफ्ते से ऑफिस के लंच टाइम में ऑफिस खत्म होने के बाद छुट्टी के दिन पूरी-पूरी रात जाग कर मैंने काउंटर स्ट्राइक गेम खेलना सीखा था   ।
",novels
1,"लैला की माँ रोती गई फफकती गई और कारण बताती गई   ।
",novels
1,"यह बात सुनकर श्रीमती प्रोफेसर के लिए मेरे मन में कोई जगह नहीं रह गयी   ।
",novels
1,"भारतीय फ़िल्म उद्योग में नासिर हुसैन का महत्वपूर्ण योगदान रहा  ।
",news
1,"सु नेल्सन ने अंतरिक्ष जाने की टिकट देने वाली इस प्रतियोगिता में भाग लिया था  ।
",news
1,"विकीलीक्स पर प्रकाशित दस्तावेज़ में उस संदेश का भी ज़िक्र है जिसमें नियंत्रण रेखा पर पाकिस्तानी इलाक़े में हथियारबंद ग्रुपों के दोबारा इकट्ठा होने की बात कही गई है  ।
",news
1,"फिर भी मुझे मालूम था कि नारी विरोधी मानसिकता वाले लोग इस पर प्रतिक्रिया ज़रूर करेंगे क्योंकि मैंने भारतीय फ़िल्मों में यौन हिंसा को बहुत हल्के तरीके से दिखाने के ख़िलाफ़ लिखा था  ।
",news
1,"भारतीय कम्युनिस्ट पार्टी के डी राजा ने भारतीय चैनल एनडीटीवी से कहा अंतरराष्ट्रीय सुपरमार्केट चेन गरीब किसानों और छोटे दुकानदारों के हितों पर प्रहार है  ।
",news
1,"ब्याज दर बढ़ने से लागत काफी बढ़ गई है   ।
",news
1,"यह सरकार के कामकाज में अपेक्षित पारदर्शिता का सूचक है   ।
",news
1,"72 सालों के दौरान फ्रांस और जर्मनी तीन लड़ाई लड़ चुके हैं  ।
",news
1,"उन्होने बीजेपी पर केन्द्र में रहते हुए काला धन के मुद्दे पर कुछ नही करने का आरोप लगाया  ।
",news
1,"वे सही जगह पर कम से कम कीमत में मकान की तलाश में लगे हैं   ।
",news
1,"वॉशिंगटन में मौजूद बीबीसी संवाददाता केटी वॉटसन का कहना है कि राष्ट्रपति असद ने इस इंटरव्यू के लिए बहुत उपयुक्त समय चुना है  ।
",news
1,"कैटरीना को लगता है कि उन्होंने काफी सारी कामेडी फिल्में कर ली हैं और अब इनसे हटकर कुछ करना चाहिए   ।
",news
1,"सुब्रत रॉय के ग़ैर-ज़मानती वारंट की तामील और उसके बाद का घटनाक्रम अत्यंत नाटकीय रहा था  ।
",news
1,"गुरुवार को एक बम धमाके में उनकी मौत हो गई थी   ।
",news
1,"ऐसे में मैच के दौरान यह पोशाक दक्षिण कोरिया के समर्थकों की पहचान बन गई  ।
",news
1,"राजेश जोशी ने खुद अपनी रचना किस्सा कोताह को मुक्त आख्यान की संज्ञा दी है   ।
",vimarsh
1,"4 मध्यकालीन संतभक्तों की भी जन्तांतर व्यवस्था और कर्मफलवाद में असंदिग्ध और गहरी आस्था थी  ।
",vimarsh
1,"एक संय में उनमें से एक ही कार्यन्वित होता है  ।
",vimarsh
1,"सुरुचि के सुकुमार स्वरूप पर कहीं आघात नहीं पहुँचता   ।
",vimarsh
1,"तानाशाह के मनसूबों पर पानी फेरते हुए ग्राम्शी ने गिरफ्तार होने के तुरंत बाद अपनी वैचारिक परिकल्पनाओं को लेकर नए सिरे से अध्ययन करना प्रारंभ कर दिया था   ।
",vimarsh
1,"यह उनकी वर्षों की इच्छा का फलीभूत रूप था   ।
",vimarsh
1,"8 हिन्दी पत्रिका अलंकार का दृष्टिकोण पूर्णतया समाजवादी था   ।
",vimarsh
1,"गिरने की यह प्रक्रिया हर तरफ है इसलिए पूरा समाज ही अधःपतित होता जा रहा है  ।
",vimarsh
1,"जिस तरह एक असावधान स्त्री लेखक जाने अनजाने पितृ सतात्मक मूल्यों का शिकार हो जा सकती है उसी तरह एक सावधान पुरुष लेखक स्त्रीपक्षीय मूल्यों का विकास कर सकता है या उसमें सहायक हो सकता है   ।
",vimarsh
1,"न ही मनुष्यता के श्रम का इतिहास नया है   ।
",vimarsh
1,"और यह प्रयोगशीलता तो साहित्य के साथ प्राचीन काल से चली आ रही है   ।
",vimarsh
1,"भारतीय जीवन की विभिन्न संघर्षपूर्ण स्थितियों को दर्शाने के लिए वर्मा जी द्वारा कायस्थ जाति के एक परिवार की कहानी को आधार बनाया गया है   ।
",vimarsh
1,"एक चर्चित और पुरस्कृत पुरुष कथाकार की एक लंबी कहानी कुछ महीने पहले एक पत्रिका में आई थी  ।
",vimarsh
1,"इस लेख में आगे परंपरावाद रूढ़िवाद और चूल्हे चौके से मुक्ति का उपक्रम करती स्त्री का चित्र खींचते हुए वे लिखते हैं  वह परंपरावाद के पूर्ण रूढ़िवाद से अपना विश्वास हटा चुकी है   ।
",vimarsh
1,"फिर भक्ति की महिमा बखानते हुए तुलसी कहते हैं कि कवि के स्मरण करते ही उसकी भक्ति के कारण सरस्वती ब्रह्मलोक को छोड़कर दौड़ी आती हैं   ।
",vimarsh
2,"रणथम्भौर में कुएं में गिरने से भालू की मौत ,  वन विभाग के अफसरों ने मीडिया से बनाई दूरी  ।
",twitter
2,"नन्हें - नन्हें हाथों से निर्मित आकर्षक और अद्वितीय कलाकृतियों ने मन मोह लिया  ।
",twitter
2,"सांस्कृतिक वैविध्य हमारी संस्कृति का सौंदर्य है और उन वैविध्यों में आंतरिक ऐक्य इसकी अनुपम अतुल्य विशिष्टता है  ।
",twitter
2,"अनार खाएँ - त्वचा में चमक पाएँ  ।
",twitter
2,"ट्राय फॉउंडेशन द्वारा निःशुल्क दवा वितरण एवं नर्मदा सेवा  ।
",twitter
2,"समस्त साधनाएं जैसे - जप ,  तप ,  योगाभ्यास तथा वेदों के पठन में जब तक भक्ति का सम्पुट न हो ,  वह बेकार है  ।
",twitter
2,"ग्रामीण युवाओं के सशक्तिकरण के लिए अब इफको लाया है   ।
",twitter
2,"कतर एयरवेज ने एयर इंडिया के अधिग्राहण से जुड़ी किसी भी बातचीत से इनकार किया  ।
",twitter
2,"जैसे सूरज की गर्मी से जलते हुए तन को मिल जाये तरुवर की छाया ऐसा ही सुख मेरे मन को मिला है मैं जबसे शरण तेरी आया , मेरे राम   ।
",twitter
2,"विवाह में विलम्ब ,  या आ रहीं हैं अड़चने ,  जानिए इसके ज्योतिषीय कारण और समाधान  ।
",twitter
2,"दौड़ लगाती कभी न थकती वह कितनी बलशाली है  ।
",baal sahitya
2,"अब हम तीनों मामा मामी के पास उनके कमरे में पहुँचे  ।
",baal sahitya
2,"चंदा मामा दौड़े आओ  ,  दूध कटोरा भरकर लाओ  ।
",baal sahitya
2,"रामू श्यामू  ,  कल्लू पप्पू  ,  चुन्नू मुरली संग करें  ।
",baal sahitya
