pid,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,count,No. of words annotated as complex by each participant,sentence_number
eicwgihgtp0,चिंतनशील,,,,,,,,,,,,,,,,,,,,,,,0,0,85
eicwgihgtp0,तथ्यतर्कपरकता,,स्थानापन्न,,,,,,,,,,,,,,,,,,,,,0,,95
eicwgihgtp0,तबके,,वांछा,,मंतव्यों,,,,,,,,,,,,,,,,,,,0,,92
eicwgihgtp0,बंकिम,,,,,,,,,,,,,,,,,,,,,,,0,,99
eicwgihgtp1,अज्ञेय,,,,,,,,,,,,,,,,,,,,,,,0,0,94
eicwgihgtp1,अतएव,शिकार,लौटेंगे,,,,,,,,,,,,,,,,,,,,,0,,49
eicwgihgtp1,अधिग्राहण,बातचीत,,,,,,,,,,,,,,,,,,,,,,0,,7
eicwgihgtp1,अभागे,कैदियों,,,,,,,,,,,,,,,,,,,,,,0,,66
eicwgihgtp1,अमरूद,अधिकतर,यानि,नगला,,,,,,,,,,,,,,,,,,,,0,,26
eicwgihgtp1,अस्पताल,,,,,,,,,,,,,,,,,,,,,,,0,,59
eicwgihgtp1,इकाई,,,,,,,,,,,,,,,,,,,,,,,0,,36
eicwgihgtp1,इज़ाफा,,,,,,,,,,,,,,,,,,,,,,,0,,35
eicwgihgtp1,उपरोपिका,मूलवृंत,तने,चुने,,,,,,,,,,,,,,,,,,,,0,,38
eicwgihgtp1,कदापि,,,,,,,,,,,,,,,,,,,,,,,0,,54
eicwgihgtp1,कलावादी,आलोचक,तथ्यतर्कपरकता,स्थानापन्न,वाग्जाल,रूपवाद,,,,,,,,,,,,,,,,,,0,,95
eicwgihgtp1,कानूनों,प्रथाओं,,,,,,,,,,,,,,,,,,,,,,0,,32
eicwgihgtp1,कालांतर,तबके,मार्क्सएंगेल्स,मंतव्यों,मार्क्सवादी,,,,,,,,,,,,,,,,,,,0,,92
eicwgihgtp1,कुँवर,घोड़े,द्रुतगति,सुखस्वप्न,,,,,,,,,,,,,,,,,,,,0,,40
eicwgihgtp1,क्लिक,एंड्रॉएड,क्लिक,,,,,,,,,,,,,,,,,,,,,0,,77
eicwgihgtp1,ख़ाली,टिप्पणी,,,,,,,,,,,,,,,,,,,,,,0,,74
eicwgihgtp1,खोलकर,,,,,,,,,,,,,,,,,,,,,,,0,,23
eicwgihgtp1,गुँटर-गुँटर,,,,,,,,,,,,,,,,,,,,,,,0,,11
eicwgihgtp1,गुलामी,परंतु,उलट,क्रम,,,,,,,,,,,,,,,,,,,,0,,86
eicwgihgtp1,गेंहू,संकट,जिम्मेदार,ठहराया,,,,,,,,,,,,,,,,,,,,0,,81
eicwgihgtp1,गौरवपूर्ण,लोकतांत्रिक,उदारवादी,,,,,,,,,,,,,,,,,,,,,0,,29
eicwgihgtp1,घमंड,नामनिशान,चिल्लू,,,,,,,,,,,,,,,,,,,,,0,,52
eicwgihgtp1,चंद,,,,,,,,,,,,,,,,,,,,,,,0,,47
eicwgihgtp1,चिंतनशील,ग्राम्शी,इकीसवीं,,,,,,,,,,,,,,,,,,,,,0,,85
eicwgihgtp1,चुनाव,,,,,,,,,,,,,,,,,,,,,,,0,,83
eicwgihgtp1,जानकारी,,,,,,,,,,,,,,,,,,,,,,,0,,78
eicwgihgtp1,जैक,प्रेगेर,,,,,,,,,,,,,,,,,,,,,,0,,31
eicwgihgtp1,झुँझला,ताँगे,छावनी,थियेटर,,,,,,,,,,,,,,,,,,,,0,,42
eicwgihgtp1,टूटने,ज्ञान,,,,,,,,,,,,,,,,,,,,,,0,,25
eicwgihgtp1,ठिठुरे,,,,,,,,,,,,,,,,,,,,,,,0,,22
eicwgihgtp1,तकनीकी,अलावा,विकल्पों,,,,,,,,,,,,,,,,,,,,,0,,84
eicwgihgtp1,तट,,,,,,,,,,,,,,,,,,,,,,,0,,48
eicwgihgtp1,तनाव,मंडराने,,,,,,,,,,,,,,,,,,,,,,0,,67
eicwgihgtp1,तबियत,अचानक,खराब,उखड़,,,,,,,,,,,,,,,,,,,,0,,21
eicwgihgtp1,तमाचा,गालियाँ,वरना,,,,,,,,,,,,,,,,,,,,,0,,20
eicwgihgtp1,तय,,,,,,,,,,,,,,,,,,,,,,,0,,75
eicwgihgtp1,तरुवर,,,,,,,,,,,,,,,,,,,,,,,0,,8
eicwgihgtp1,तोंसा,कारख़ाने,कच्चे,दोबारा,परीक्षण,,,,,,,,,,,,,,,,,,,0,,82
